mol,n_atoms,n_gated_atoms,err_before,err_after,delta,neighbor_n,neighbor_u3_mean,neighbor_u3_median,neighbor_frac_train
mobley_1449384,24,5,2.5790453333333327,3.9315799678554586,1.3525346345221259,50,0.06021590277552599,0.0656761676073074,0.7
mobley_1563176,15,1,0.20710666666666655,0.8518977163232482,0.6447910496565816,10,0.0815328601747751,0.0647155977785587,1.0
mobley_3269565,15,2,4.634009333333333,4.6880195224093875,0.05401018907605426,20,0.10787027813494202,0.10780118405818935,0.4
mobley_3682850,17,4,2.8350783333333336,3.08690292265726,0.2518245893239266,40,0.05478429328650232,0.0555821247398853,0.85
mobley_4252724,24,3,3.8748453333333335,4.055145470476326,0.18030013714299242,30,0.08034076690673823,0.0772456638514995,0.7
mobley_4483973,12,0,1.0726170000000002,1.072616982460022,-1.753997813658259e-08,0,,,
mobley_4620651,15,3,3.7224229999999996,3.5800309283303062,-0.14239207166969337,30,0.06442088050146894,0.051401231437921455,0.8666666666666667
mobley_4639255,10,1,10.523742333333335,10.350847025737162,-0.172895307596173,10,0.11490907520055767,0.11782348155975335,0.9
mobley_4883284,14,2,0.2471093333333334,4.216459718128035,3.9693503847947014,20,0.04434472955763337,0.037976389750838196,0.6
mobley_5052949,21,1,0.4317979999999999,0.8665048604808037,0.43470686048080376,10,0.04583458937704559,0.042262254282832104,1.0
mobley_6257907,14,3,1.5934923333333337,4.20803409451269,2.614541761179356,30,0.18183206655085088,0.12301440536975859,0.4
mobley_8449031,22,3,3.2514236666666667,2.1599260612278894,-1.0914976054387773,30,0.07339440318755802,0.04714607819914815,0.6
