variant,lambda,seed,best_val_epoch,early_stop_epoch,total_min,nan_inf_seen,l_nbr_raw_init,l_nbr_raw_final,var_p_final,all129_mae,all129_rmse,all129_n,wrong18_mae,wrong18_rmse,wrong18_n,certain47_mae,certain47_rmse,certain47_n,isolated6_mae,isolated6_rmse,isolated6_n,gradient12_mae,gradient12_rmse,gradient12_n
baseline,0.0,42,115,145,87.0,False,,,,0.5523035658914729,0.819058644552779,129,0.49889411111111115,0.6176508088000318,18,0.27305604255319144,0.4064453354675375,47,0.46407366666666666,0.5692870592902436,6,0.5163043333333334,0.6404646004888431,12
latent_normalized,0.05,42,17,47,26.5,False,0.082917,0.00566,0.028919,0.790958519379845,1.2279942432936142,129,0.726210111111111,0.8232094524631424,18,0.457747085106383,0.5973179529165742,47,0.8824396666666668,0.9645796126567263,6,0.6480953333333332,0.7424983430018548,12
latent_normalized,0.1,42,14,44,24.2,False,0.082927,0.00489,0.031502,0.8293545193798448,1.4350722794986062,129,0.7380485555555554,0.845035434448034,18,0.5005290851063829,0.625782419406859,47,0.6273038333333333,0.7343621534759489,6,0.7934209166666664,0.8952560762040377,12
latent_normalized,0.3,42,12,42,23.0,False,0.08293,0.004482,0.10544,1.1413408062015502,2.206834411323144,129,0.8947581111111111,1.0561999750623303,18,0.7084043404255317,0.9128761432917113,47,0.9816481666666665,1.1254119528209068,6,0.8513130833333333,1.0198340792532952,12
latent_normalized,1.0,42,14,44,25.5,False,0.082932,0.004894,0.394787,1.0033782713178294,2.0260208102160093,129,0.707477111111111,0.837555574283681,18,0.5248071914893617,0.7341840965625748,47,0.6615115,0.8374845410723513,6,0.7304599166666667,0.8375910886303153,12
latent_raw,0.001,42,49,79,43.2,False,0.082931,0.007135,0.027786,0.628636457364341,1.0542442386900754,129,0.5946537777777777,0.6611761228686011,18,0.3303363404255319,0.458702919555436,47,0.7422915,0.7644239548739735,6,0.5208349166666664,0.6029583789821232,12
latent_raw,0.003,42,93,123,68.0,False,0.082929,0.006834,0.027175,0.5412766434108528,0.8474396320185186,129,0.5913092777777778,0.679907607272529,18,0.2467739361702128,0.379483168472511,47,0.5257983333333334,0.6273064811528201,6,0.62406475,0.7047374127945929,12
latent_raw,0.01,42,138,168,90.5,False,0.082924,0.006805,0.026835,0.5174218604651162,0.7703579046139185,129,0.5173152777777776,0.5930572877472855,18,0.2597907234042553,0.3740712529396369,47,0.43231233333333324,0.4948896701238907,6,0.55981675,0.6364884343235022,12
latent_raw,0.03,42,71,101,57.1,False,0.082932,0.006915,0.027161,0.5365116511627905,0.7996270159219195,129,0.5058766666666666,0.5940992424048359,18,0.2618643404255319,0.3817760407583304,47,0.6384351666666666,0.7052670163962723,6,0.4395974166666667,0.5298396762519298,12
tanimoto_normalized,0.05,42,57,87,49.9,False,1.636524,0.015355,0.026433,0.560811930232558,0.7999764160719233,129,0.5914249999999998,0.6676553142210099,18,0.3067786808510638,0.47417862971924996,47,0.5935698333333334,0.657145058790802,6,0.5903525833333331,0.67284887884632,12
tanimoto_normalized,0.1,42,20,50,28.6,False,1.636615,0.014152,0.025509,0.642205589147287,0.8625005417760572,129,0.6232216666666667,0.7347209896472416,18,0.4090649574468086,0.5669827167660253,47,0.5787531666666667,0.6993922310946126,6,0.6454559166666666,0.7517630294744371,12
tanimoto_normalized,0.3,42,11,41,23.0,False,1.636921,0.012212,0.025755,0.8353213720930234,1.1225386147043652,129,0.694546,0.8637891767015066,18,0.6353417021276597,0.8002906195856656,47,0.7794289999999999,0.9621119987179249,6,0.6521045,0.8101653310537917,12
tanimoto_normalized,1.0,42,10,40,21.8,False,1.636637,0.006836,0.022716,1.0834262868217055,1.4560153467859656,129,0.8933740000000001,1.1643337080096736,18,1.0373467021276592,1.2206120627329082,47,0.8100478333333334,1.1244058007877613,6,0.9350370833333334,1.1837927491705424,12
tanimoto_raw,0.001,42,71,101,106.1,False,1.636707,0.017862,0.02772,0.5732274728682172,0.8865800822054085,129,0.5684493333333334,0.6430060619892233,18,0.26584978723404246,0.3899170635468795,47,0.5961468333333334,0.6383185412191681,6,0.5546005833333334,0.6453370542594389,12
tanimoto_raw,0.003,42,88,118,63.8,False,1.636576,0.017578,0.027235,0.6072797441860466,0.9127064474951331,129,0.5753643333333333,0.690713007597222,18,0.33723995744680857,0.4869717206144652,47,0.5398521666666666,0.6727500830589569,6,0.5931204166666667,0.699521515872159,12
tanimoto_raw,0.01,42,119,149,83.4,False,1.636499,0.017347,0.026936,0.48697241085271314,0.710994622677618,129,0.5036724444444444,0.5809712358310004,18,0.2470782765957447,0.29753997528760556,47,0.3671138333333334,0.4304413837940074,6,0.5719517499999999,0.6431574246273224,12
tanimoto_raw,0.03,42,66,96,51.8,False,1.636572,0.017198,0.026523,0.5985467906976745,0.8792350278610105,129,0.5426939444444444,0.660700626958946,18,0.2932680638297872,0.45286475532154935,47,0.71636,0.8182786649966298,6,0.4558609166666665,0.5656836491375574,12
