population,arm,n,delta_mae,after_mae,before_mae,ci_lo,ci_hi,p_improves
all620,plain_vs_raw,620,-0.08925267025237864,1.3936516725602976,1.482904342812676,-0.134560326834202,-0.043901972344197245,0.9999
all620,comp_vs_raw,620,-0.17690231130425865,1.3060020315084178,1.482904342812676,-0.24415522521777067,-0.10948040206396889,1.0
all620,comp_minus_plain,620,-0.08764964105188,1.3060020315084178,1.3936516725602976,-0.1380509600286783,-0.03742068564244794,1.0
Q_spread,plain_vs_raw,155,-0.11844900450348662,2.207666176592171,2.3261151810956577,-0.2312162999783923,-0.002827045451835705,0.9777
Q_spread,comp_vs_raw,155,-0.31039426113780594,2.015720919957852,2.3261151810956577,-0.49448745370354497,-0.12295817780519619,0.9992
Q_spread,comp_minus_plain,155,-0.19194525663431927,2.015720919957852,2.207666176592171,-0.3161992285341865,-0.06028485883783022,0.9977
WDec10,plain_vs_raw,62,-0.4887305056288073,4.892495678809826,5.381226184438635,-0.6629540310748173,-0.30973115841761356,1.0
WDec10,comp_vs_raw,62,-1.1633820217269029,4.217844162711732,5.381226184438635,-1.3964704718059786,-0.9356612344174622,1.0
WDec10,comp_minus_plain,62,-0.6746515160980955,4.217844162711732,4.892495678809826,-0.8326966297018715,-0.5262416838913712,1.0
