mol_id,rmse_across_seeds,quadrant_label
mobley_9913368,0.9792939248191015,low_std_high_rmse
mobley_1449384,0.42058183099772634,low_std_high_rmse
mobley_7708038,0.060998178499033905,low_std_low_rmse
mobley_8311321,1.1630418941817187,high_std_high_rmse
mobley_766666,0.422677009135581,low_std_high_rmse
mobley_5445548,0.10233656773411937,low_std_low_rmse
mobley_9029594,0.6184553913992504,high_std_high_rmse
mobley_3370989,0.4218884967483707,high_std_high_rmse
mobley_627267,0.09106769744755822,low_std_low_rmse
mobley_6250025,0.23865165761125562,low_std_low_rmse
mobley_4252724,0.40339929065480523,low_std_high_rmse
mobley_7157427,0.10697142782257327,low_std_low_rmse
mobley_8885088,0.4483649708367058,low_std_high_rmse
mobley_8522124,0.083917442441962,low_std_low_rmse
mobley_4678740,0.16260598059050596,high_std_low_rmse
mobley_2689721,0.15603280561023056,low_std_low_rmse
mobley_1662128,0.14636565075863928,low_std_low_rmse
mobley_4762983,0.10919838006307611,low_std_low_rmse
mobley_7732703,0.6351616017410057,high_std_high_rmse
mobley_2068538,0.29534603322509684,low_std_low_rmse
mobley_5157661,0.08628828180233979,low_std_low_rmse
mobley_1261349,0.20655509906753688,high_std_low_rmse
mobley_2328633,0.9296762453893289,high_std_high_rmse
mobley_8436428,0.14565469174935625,low_std_low_rmse
mobley_3060426,0.2714771123424587,high_std_low_rmse
mobley_2197088,0.08940005950333596,low_std_low_rmse
