mode,arm,population,n,delta_mae,ci_lo,ci_hi,source
B,randAll_trust,Q_std,33,-6.012418432584734,-12.255322526707884,-1.5493088789392246,this run
B,randAll_trust,Q_nll,33,-5.935857884147121,-12.032720255981824,-1.4790420561427755,this run
B,randAll_trust,UNION,50,-3.9122364171257913,-8.151914258128048,-0.8425222238060093,this run
B,randAll_trust,all129,129,-1.4897206480110827,-3.186646984227818,-0.2915875245184523,this run
B,randAll_trust,gradient12,12,0.21550446177093752,-0.13624316560635188,0.6818144310474513,this run
B,randElig_equal,Q_std,33,-5.905531130144728,-12.083496798216963,-1.5204784320815024,this run
B,randElig_equal,Q_nll,33,-5.809058970027281,-12.039375120536508,-1.4423620421651224,this run
B,randElig_equal,UNION,50,-3.804985596937771,-8.013172326956953,-0.872462993037768,this run
B,randElig_equal,all129,129,-1.4743242878352212,-3.121028359058338,-0.2888335782978075,this run
B,randElig_equal,gradient12,12,0.347598868370062,-0.1756272011065811,0.9281150979992718,this run
B,randAll_equal,Q_std,33,-6.196883888520088,-12.25635439038652,-1.736704595549772,this run
B,randAll_equal,Q_nll,33,-5.816955870542351,-12.102005301090506,-1.3597917672574014,this run
B,randAll_equal,UNION,50,-3.9721564575773085,-8.237481573068063,-0.9899363048079655,this run
B,randAll_equal,all129,129,-1.5681832484726126,-3.2417042857919367,-0.3671820090383708,this run
B,randAll_equal,gradient12,12,0.05528113299246168,-0.40962129927632984,0.6319154428349415,this run
B,shrink_poolmean,Q_std,33,-6.303690276155118,-12.586672132962146,-1.8884502856288514,this run
B,shrink_poolmean,Q_nll,33,-6.065322364594744,-12.174507729090529,-1.523087716818977,this run
B,shrink_poolmean,UNION,50,-4.103266180329405,-8.3660702594619,-1.1027719874530513,this run
B,shrink_poolmean,all129,129,-1.6289596721675108,-3.3357650639953227,-0.4394639522131121,this run
B,shrink_poolmean,gradient12,12,0.21713830234574594,-0.26019553612195634,0.7352316908006149,this run
