run,label,lambda,group,union_n,union_delta_mae,median_abs_shift,pop_pred_spread_before,pop_pred_spread_after,rho_shift_vs_err,p_shift_vs_err,n_improved,frac_improved,mean_toward_truth_given_improved
baseline\lambda0_seed42,tanimoto_raw_lam0,0.0,baseline,53,0.0,0.0,4.860613427525886,4.860613427525886,,,0,0.0,
raw\lambda0.001_seed42,tanimoto_raw_lam0.001,0.001,raw,53,0.048394584905660516,0.32877199999999984,4.860613427525886,4.947825212209704,0.03692952749556523,0.7929130726971202,26,0.49056603773584906,0.4116108076923077
raw\lambda0.003_seed42,tanimoto_raw_lam0.003,0.003,raw,53,0.09273667924528312,0.27422499999999994,4.860613427525886,4.950479355867544,0.22318980809546846,0.10817766094823594,22,0.41509433962264153,0.3258951363636365
raw\lambda0.01_seed42,tanimoto_raw_lam0.01,0.01,raw,53,-0.11709018867924523,0.3554430000000002,4.860613427525886,4.979667676106303,-0.21738429285599095,0.11790964531360479,36,0.6792452830188679,0.4449529166666666
raw\lambda0.03_seed42,tanimoto_raw_lam0.03,0.03,raw,53,0.1378102452830189,0.29683099999999984,4.860613427525886,4.7259848465118495,0.27503628447024675,0.04624264099677798,22,0.41509433962264153,0.3140425909090909
normalized\lambda0.05_seed42,tanimoto_normalized_lam0.05,0.05,normalized,53,-0.018053849056603836,0.3286489999999995,4.860613427525886,4.96505549547836,0.07305273343009192,0.6031711069531275,22,0.41509433962264153,0.6745105909090909
normalized\lambda0.1_seed42,tanimoto_normalized_lam0.1,0.1,normalized,53,0.07658862264150944,0.5431869999999996,4.860613427525886,4.825576134337674,0.15070149975810354,0.28142289782473195,21,0.39622641509433965,0.6962568571428571
normalized\lambda0.3_seed42,tanimoto_normalized_lam0.3,0.3,normalized,53,0.3323505849056604,0.6941310000000005,4.860613427525886,4.609145460983499,0.44396065150782127,0.000868584367432786,18,0.33962264150943394,0.6621161111111111
normalized\lambda1.0_seed42,tanimoto_normalized_lam1,1.0,normalized,53,0.44855324528301876,1.019705,4.860613427525886,4.353521472330761,0.43065634575068534,0.0012865557497263873,19,0.3584905660377358,0.780547947368421
v2_latent\raw_lambda0.001_seed42,latent_raw_lam0.001,0.001,v2_latent,53,0.1416307735849056,0.29551799999999995,4.860613427525886,5.09781506289949,0.11111111111111109,0.4283200286214629,24,0.4528301886792453,0.4705932916666667
v2_latent\raw_lambda0.003_seed42,latent_raw_lam0.003,0.003,v2_latent,53,0.0019243962264151382,0.2774889999999999,4.860613427525886,4.903629740582844,-0.04192872117400419,0.765628256027958,26,0.49056603773584906,0.4012189615384614
v2_latent\raw_lambda0.01_seed42,latent_raw_lam0.01,0.01,v2_latent,53,-0.07156856603773588,0.22418100000000063,4.860613427525886,4.938787751646613,-0.24834704079987097,0.0729586733622278,29,0.5471698113207547,0.41278110344827573
v2_latent\raw_lambda0.03_seed42,latent_raw_lam0.03,0.03,v2_latent,53,0.01886641509433954,0.2513369999999995,4.860613427525886,4.772593853722179,-0.004192872117400419,0.9762290981437893,22,0.41509433962264153,0.40989068181818183
v2_latent/normalized\lambda0.05_seed42,latent_normalized_lam0.05,0.05,v2_latent/normalized,53,0.3515728679245284,0.411265,4.860613427525886,5.126069068348972,0.5165295920012901,7.513321302541686e-05,15,0.2830188679245283,0.5244245333333332
v2_latent/normalized\lambda0.1_seed42,latent_normalized_lam0.1,0.1,v2_latent/normalized,53,0.4198187735849056,0.46443499999999993,4.860613427525886,5.5399058615842325,0.37034349298500235,0.006340117481351875,18,0.33962264150943394,0.4588617777777778
v2_latent/normalized\lambda0.3_seed42,latent_normalized_lam0.3,0.3,v2_latent/normalized,53,0.9079160943396224,0.68032,4.860613427525886,6.218606720081587,0.7038380906305434,4.1302571239852166e-09,14,0.2641509433962264,0.4014413571428571
v2_latent/normalized\lambda1.0_seed42,latent_normalized_lam1,1.0,v2_latent/normalized,53,0.8029187358490567,0.574681,4.860613427525886,5.993100713150043,0.5853088211578779,4.1589175456046245e-06,14,0.2641509433962264,0.5718106428571427
