population,arm,n,delta_mae,before_mae,after_mae,ci_lo,ci_hi,p_improves,kind
all620,gims_affine_vs_raw,620,-0.0917810016078475,1.482904342812676,1.3911233412048287,-0.13805164829417296,-0.04425637195134193,0.9998,gims_minus_raw
all620,plain_affine_vs_raw,620,-0.08927921450247295,1.482904342812676,1.3936251283102032,-0.13509803492283268,-0.044894431565495586,0.9999,plain_minus_raw
all620,gims_minus_plain,620,-0.00250178710537455,1.3936251283102032,1.3911233412048287,-0.010600207482173895,0.005529820276463597,0.7234,head_to_head
Q_spread,gims_affine_vs_raw,155,-0.11880673012377665,2.3261151810956577,2.207308450971881,-0.2398205346679966,0.0037631500509081933,0.971,gims_minus_raw
Q_spread,plain_affine_vs_raw,155,-0.11855864092066733,2.3261151810956577,2.2075565401749904,-0.23059237210222042,-0.004903983986584727,0.9798,plain_minus_raw
Q_spread,gims_minus_plain,155,-0.00024808920310933946,2.2075565401749904,2.207308450971881,-0.018300359984547557,0.01833279443264327,0.5128,head_to_head
WDec10,gims_affine_vs_raw,62,-0.5051001594893257,5.381226184438635,4.876126024949308,-0.6942055381582483,-0.3025761421065733,1.0,gims_minus_raw
WDec10,plain_affine_vs_raw,62,-0.4889433432215427,5.381226184438635,4.8922828412170904,-0.658520889421495,-0.306702852993339,1.0,plain_minus_raw
WDec10,gims_minus_plain,62,-0.016156816267783054,4.8922828412170904,4.876126024949308,-0.04975262476112624,0.017263838273868858,0.8316,head_to_head
