fold,n_train,n_test,a_gims,b_gims,a_plain,b_plain,delta_gims_vs_raw_fold,delta_plain_vs_raw_fold,delta_gims_vs_plain_fold,mae_raw_fold,mae_gims_fold,mae_plain_fold
1,496,124,1.123323168470089,0.0812357444841915,1.083015997937932,-0.051470177460438714,-0.09631320005956587,-0.09592863206190282,-0.0003845679976630495,1.4950215786230823,1.3987083785635164,1.399092946561179
2,496,124,1.117652002364675,0.10693334925735623,1.0891842310286537,0.012803621335301467,-0.11371815086890222,-0.11379030525123487,7.215438233266364e-05,1.32656941265028,1.212851261781378,1.2127791073990453
3,496,124,1.1144487158187437,0.12856936975712824,1.0840559375850547,6.918595447071656e-06,-0.14192314081238433,-0.14438437786884975,0.0024612370564654445,1.5052123290226267,1.3632891882102423,1.3608279511537769
4,496,124,1.1140613992525141,0.0416446470025084,1.0939943821470672,0.0026496881905820144,-0.09392866288674052,-0.07732136772142825,-0.01660729516531227,1.57454422974939,1.4806155668626493,1.4972228620279617
5,496,124,1.137140445783388,0.15973768123955767,1.0997109582462818,0.022362362937533534,-0.013021853411644614,-0.01497138960894908,0.0019495361973044644,1.513174164018003,1.5001523106063581,1.4982027744090534
