set,n,raw_mae,uniform_mae,delta,ci_lo,ci_hi
freesolv-disagree33,33,1.7915269090909087,1.7915269090909087,0.0,0.0,0.0
freesolv-atypical33,33,1.7626513636363637,1.7626513636363637,0.0,0.0,0.0
freesolv-union50,50,1.8483009799999999,1.8483009799999999,0.0,0.0,0.0
freesolv-all129,129,1.6626462713178292,1.6626462713178292,0.0,0.0,0.0
freesolv-gradient12,12,1.7795259166666666,1.7795259166666666,0.0,0.0,0.0
flexisol,290,2.838114482758621,2.838114482758621,0.0,0.0,0.0
guthrie,442,2.8248715686274513,2.8248715686274513,0.0,0.0,0.0
